question,document
Could the base64 encoding be broken if I used echo without -n for the API key?,c8ca21af33
"After exporting the secret, do I need to restart Kestra or just rerun the flow?",c8ca21af33
"In Kestra templates, should I use SECRET_GEMINI_API_KEY or just GEMINI_API_KEY in secret(...) ?",c8ca21af33
"Is there a better way to load the keys, like using a .env file with docker compose?",c8ca21af33
Why can’t I just use a notebook for these AI workflows instead of an orchestrator like Kestra?,193612db63
What does Kestra add beyond running a script once in a notebook?,193612db63
"In this module, why is Kestra being used to teach AI stuff like Copilot, RAG, and agents?",193612db63
"Do Kestra AI plugins only work with OpenAI, or can I switch to Gemini or Anthropic too?",193612db63
What’s the real reason we need orchestration in production-style AI workflows?,193612db63
"Do I actually need to use Kestra for the whole LLM Zoomcamp, or is it only for the orchestration module?",cce328db64
"For the capstone project, can I skip Kestra and use Airflow, Prefect, Dagster, or even just Python scripts?",cce328db64
"If I already know Airflow, is it okay to just use that instead of learning Kestra in Module 3?",cce328db64
"Will a simple Python or notebook-based ingestion pipeline still count toward the project requirements, or do I need a full workflow tool?",cce328db64
"Can Kestra work with different AI providers like OpenAI, Gemini, or Anthropic without rewriting the flow?",cce328db64
"Besides Gemini, which other AI providers can Kestra use, and does it work with local models too?",f442efe5b4
"Can I plug Groq, Ollama, or LM Studio into a Kestra flow without rewriting everything?",f442efe5b4
"If a model is OpenAI-compatible, do I still need a special Kestra plugin for it?",f442efe5b4
What’s the difference between Kestra’s generic AI plugin and the vendor-specific ones like OpenAI or Gemini?,f442efe5b4
"How do I use something like DeepSeek, Groq, or xAI in Kestra if they don’t have their own plugin?",f442efe5b4
Is there a way to build Kestra flows without hand-writing YAML or any code at all?,bfe5502c30
How does Kestra let you create workflows if you don't want to edit YAML directly?,bfe5502c30
Can I use an AI assistant to generate a Kestra flow from plain English and then keep refining it?,bfe5502c30
What are the no-code or low-code options for making Kestra workflows from an editor or UI?,bfe5502c30
"If I just need a simple automation, would something like Zapier or n8n be easier than using Kestra?",bfe5502c30
"Why does ChatGPT make up Kestra YAML fields like bucket or name instead of the real ones, and how can I stop that?",93a3e8b98c
"When I ask an AI to generate a Kestra flow, why does it sometimes use wrong plugin properties for GCS upload or BigQuery load?",93a3e8b98c
How do I check whether the Kestra YAML an AI gave me matches the actual plugin schema for my version?,93a3e8b98c
Is there a safe way to have AI help me write Kestra flows without getting invalid fields that won’t run?,93a3e8b98c
"Why would the same Kestra plugin property be valid in one release but invalid in another, and where should I verify it?",93a3e8b98c
Why do we keep an eye on token usage in a Kestra flow if it’s just running LLM calls?,a4adc70f41
How does checking tokens help with cost control when a workflow has scheduled or looping AI tasks?,a4adc70f41
What’s the point of looking at token counts for each prompt and response in Kestra?,a4adc70f41
Can token tracking in a long-running LLM workflow help prevent surprise bills?,a4adc70f41
"Where do token numbers usually come from in a Kestra AI task, and what do people do with them afterward?",a4adc70f41
Why am I getting the Docker Desktop error about '/tmp/... is not shared from the host' when I start Kestra?,dd8b4c9fda
How can I allow Docker Desktop to mount the /tmp or /tmp/kestra-wd folder on my Mac?,dd8b4c9fda
Where in Docker Desktop do I add a host path so the container can use it?,dd8b4c9fda
What should I do in Docker Desktop if the Kestra container fails because the mount path is denied?,dd8b4c9fda
"After I add /tmp to Docker Desktop file sharing, do I need to restart anything before running docker compose again?",dd8b4c9fda
"Why am I getting a 404 NOT_FOUND from Gemini in my Kestra flow, and what model should I switch to?",d51bbe2da0
"If the Gemini model in the course YAML is unavailable, do I need to change the model id in Kestra or docker-compose?",d51bbe2da0
How do I fix a Gemini model not found error when rerunning a Kestra workflow?,d51bbe2da0
"Is a Gemini 404 error permanent, or should I just pick another model that my account can access?",d51bbe2da0
Where can I check the current Gemini model names before updating the course flow?,d51bbe2da0
"For the Module 3 Kestra homework, what exactly am I supposed to upload if most of the work was done in the Kestra UI?",f29f622684
"Do I need to submit the actual Kestra flow YAML files somewhere, and is a README enough on its own?",f29f622684
"Should I put my homework answers in the repo too, or only in the submission form fields?",f29f622684
"If I changed any scripts that the Kestra flows use, do those need to go in the public repo as well?",f29f622684
"What kind of repo link does the Module 3 homework form want, and where should I place the flow files inside it?",f29f622684
How do I stop getting JSONDecodeError: Expecting value when I generate ground-truth questions with the LLM?,a3c7e1b4f9
Why does json.loads(response) fail even though the model says it returned JSON?,a3c7e1b4f9
What’s the easiest way to force the LLM to return real JSON instead of a code fence or extra text?,a3c7e1b4f9
Should I use response_format in OpenAI if the model keeps wrapping the output in markdown?,a3c7e1b4f9
How should I write the prompt so the model gives me exactly a JSON object with 5 questions?,a3c7e1b4f9
Why does my Jupyter kernel keep crashing when I try to embed the ground-truth data?,b8f2d6a30c
What can I do if my notebook runs out of memory while loading an embedding model in Codespaces?,b8f2d6a30c
Is there a smaller embedding model I can use instead of the default one for the eval notebook?,b8f2d6a30c
Can I move the embedding step out of Jupyter and run it from the terminal to avoid crashes?,b8f2d6a30c
How do I handle large ground-truth sets in batches and free memory between them?,b8f2d6a30c
Why am I still getting rate-limit errors on Gemini even after adding a 4-second sleep between requests?,c1e9f4b820
What should I do if the ground-truth generation run burns through the free daily quota halfway through a long tqdm loop?,c1e9f4b820
Is there a cheaper or easier model I can use instead of Gemini for building the ground-truth dataset?,c1e9f4b820
How do I avoid hitting the API too hard when I'm using a thread pool for this evaluation step?,c1e9f4b820
What is the best way to save my progress so I can continue ground-truth generation after a quota or rate-limit failure?,c1e9f4b820
Why do the Module 4 lesson files jump from 06 to 11? I thought some lessons were missing.,57c8d3a1e4
"Are lessons 07 to 10 in Module 4 actually skipped, or is there another reason for the numbering?",57c8d3a1e4
How should I read the Module 4 filenames that go 01–06 and then 11–15?,57c8d3a1e4
What does the gap between 06-search-tuning.md and 11-evaluation-intro.md mean in Module 4?,57c8d3a1e4
"Is Module 4 split into two parts, and if so how does that affect the lesson numbering?",57c8d3a1e4
Why would MRR go up but Hit Rate not change if the search results got better?,8a5ece0688
"If Hit Rate and MRR are exactly the same, does that mean my eval code is wrong?",8a5ece0688
How can a query still count as a hit even when its MRR score improves?,8a5ece0688
What should I check in my evaluation if MRR changes but Hit Rate stays flat?,8a5ece0688
Can reranking or new embeddings improve the ranking without affecting Hit Rate?,8a5ece0688
Where can I find the agent evaluation code for this lesson?,4de1cb9a3f
"Is there a notebook or code folder for the agent-evaluation part, and where is it?",4de1cb9a3f
Which directory has the files used in the agent evaluation lesson?,4de1cb9a3f
What’s the link to the lesson notes for agent evaluation?,4de1cb9a3f
Where should I look in the repo for the code and markdown of the agent-evaluation lesson?,4de1cb9a3f
"Why do I get WinError 126 when Python tries to load torch\lib\fbgemm.dll on Windows, and what can I do to fix it?",15e931476c
My PyTorch install says the specified module could not be found for fbgemm.dll — is there a missing dependency I need to install?,15e931476c
Is Visual C++ Redistributable required if torch fails with an OSError about fbgemm.dll in Windows 10/11?,15e931476c
"Do I need Visual Studio itself, or is VS Code enough, when PyTorch gives the fbgemm.dll loading error on Windows?",15e931476c
What’s the best way to resolve the Windows error about torch\lib\fbgemm.dll or one of its dependencies not being found?,15e931476c
"Why do I get `could not translate host name ""postgres"" to address` when I run `python prep.py`?",4b65d5542d
How can I fix the `psycopg2.OperationalError` about `postgres` not being found?,4b65d5542d
What should I change in my `.env` file if the database host name causes an error?,4b65d5542d
Is `POSTGRES_HOST=postgres` wrong for running `prep.py` locally? What should it be instead?,4b65d5542d
I’m seeing `No such host is known` for `postgres` — what’s the quick fix?,4b65d5542d
How do I make Pandas stop cutting off long text in a column?,641aedbbf5
What setting shows the full content of a pandas column instead of the 50-char preview?,641aedbbf5
"In the offline-rag-evaluation notebook, how can I see the entire Explanation text from the judge LLM?",641aedbbf5
"Why does Pandas show ... in long text cells, and how do I remove that?",641aedbbf5
What code do I use to display unlimited column width in Pandas?,641aedbbf5
How can I normalize vectors stored in a Pandas DataFrame column without looping row by row?,5039707c1a
What’s the easiest way to divide each vector in a Pandas Series by its norm?,5039707c1a
"In Pandas, how do I create a new column with normalized versions of an existing vector column?",5039707c1a
Is there a simple lambda function for normalizing vectors inside a DataFrame column?,5039707c1a
How do I use NumPy to normalize each vector in a Pandas column?,5039707c1a
How do I get the 75th percentile from a Pandas DataFrame column?,b4c8ac5a0c
What’s the Pandas way to compute a 0.75 quantile for a Series?,b4c8ac5a0c
How can I calculate a percentile for one column in a DataFrame with Pandas?,b4c8ac5a0c
Is there a simple `quantile` example for a DataFrame column in Pandas?,b4c8ac5a0c
How do you find the 75% quantile of `df['col']` in Pandas?,b4c8ac5a0c
"How do I wipe all Docker containers, including the ones still running, from the terminal?",66ccbb7da0
What’s the command to force-remove every Docker image on my machine?,66ccbb7da0
How can I delete all Docker volumes with one terminal command?,66ccbb7da0
"Is there a quick way to clean up every container, image, and volume in Docker at once?",66ccbb7da0
"What Docker commands do I use to fully reset containers, images, and volumes from the CLI?",66ccbb7da0
How can I make sure a user can only leave feedback once per submission in Streamlit?,2e729f1271
Why does my `st.session.submitted` keep getting set back to `True` after I click a feedback button?,2e729f1271
"When I press the ask button, how do I keep the feedback buttons disabled unless `st.session.submitted` is false?",2e729f1271
Is there a known fix for Streamlit session attributes being reassigned after feedback is submitted?,2e729f1271
Where can I find the solution for the issue where one feedback click should lock the submission state in Streamlit?,2e729f1271
Why does my SQLite exporter stay empty even though I’m creating spans in the notebook?,ba1d5f13e7
What does the warning 'Overriding of current TracerProvider is not allowed' actually mean in OpenTelemetry?,ba1d5f13e7
How do I fix it if I already set a TracerProvider once and my new exporter isn’t getting traces?,ba1d5f13e7
"In a notebook, do I need to restart the kernel before changing the exporter setup?",ba1d5f13e7
"If I want spans to use a separate provider, how should I get the tracer from it?",ba1d5f13e7
"My script hangs or throws a RecursionError when I try to set up OpenTelemetry ConsoleSpanExporter in Module 5. What’s going on, and how do I fix it?",702399225b
Do I need to update opentelemetry-api and opentelemetry-sdk for the Module 5 homework if I’m on Python 3.14?,702399225b
What command can I use to check which OpenTelemetry versions my project is actually using?,702399225b
"If I can’t upgrade OpenTelemetry, is it okay to just switch to Python 3.13 for this homework?",702399225b
"Should I hide the ConsoleSpanExporter error by writing a minimal custom exporter, or do I need the full SQLiteSpanExporter implementation with shutdown and force_flush?",702399225b
How can I use Groq or Gemini for the monitoring homework if the code is built around OpenAI chat completions?,01517c80df
What do I need to change in starter.py so it works with another OpenAI-compatible provider instead of a fake OPENAI_API_KEY?,01517c80df
Which parts of RAGWithMetrics should I rewrite when the provider returns chat completion usage fields differently from the OpenAI Responses API?,01517c80df
"Why does the model name have to match the provider's currently available IDs, and what happens if I keep using an OpenAI model name on Groq?",01517c80df
"If my request is over the token limit right away, should I keep retrying, or do I need to lower the retrieved context first?",01517c80df
"Why do I get `exec: ""streamlit"": executable file not found in $PATH` when I start my Streamlit app with docker-compose, even though it works locally?",e8df9f0d12
What do I need to add or change in my Docker setup if docker-compose says it can’t find the `streamlit` command?,e8df9f0d12
"I already have a Streamlit app that runs outside Docker, but in docker-compose it fails with an OCI runtime error. How can I fix the container so it starts properly?",e8df9f0d12
"Should I create a Dockerfile and update docker-compose when Streamlit isn’t found in the container, or is there another way to solve it?",e8df9f0d12
"After changing my docker-compose file for a Streamlit app, do I need to rebuild the image, and if so what command should I run?",e8df9f0d12
"Is the capstone supposed to be done by one person only, or can it be a team effort?",0fab61eca2
"If we work on the same bigger idea, do we still need separate repos for each student?",0fab61eca2
Can two people submit parts of one shared system as long as each part is different?,0fab61eca2
What counts as an individual capstone project if students collaborate on the concept?,0fab61eca2
Would a project still qualify if the work can’t be checked separately for each person?,0fab61eca2
"Do I need to turn in two capstone projects, or is one enough?",d5fc98925d
What exactly do attempt 1 and attempt 2 mean for the project submission?,d5fc98925d
"If my first submission gets rejected, can I fix it and send it again later?",d5fc98925d
"Can I submit a second project just to get more practice, and does it have to be a different topic?",d5fc98925d
"If I miss the first submission deadline, can I still join in for the second window?",d5fc98925d
Is the competition itself considered the capstone project?,e892d44e42
Can I use the Kaggle competition as my capstone for the course?,e892d44e42
"If we join the math-kaggle-llm-competition, does that replace the individual capstone?",e892d44e42
"Are teams allowed for the capstone, or is it only for the competition?",e892d44e42
Can I do the competition with others even though the capstone has to be my own work?,e892d44e42
How will the capstone project be graded in this course?,9a2e2d2008
Who actually reviews the projects after submission?,9a2e2d2008
Do I need to grade other students' capstone projects too?,9a2e2d2008
What happens if I don't review the required number of peer projects?,9a2e2d2008
How is the final capstone score calculated from the peer reviews?,9a2e2d2008
When do the peer-review assignments show up after I submit my capstone project?,eae0fb50aa
Where do I check which projects I need to review for the capstone?,eae0fb50aa
"Do I need to sign up or request review assignments manually, or are they given automatically?",eae0fb50aa
Can I choose which classmates' projects I will grade in the capstone review?,eae0fb50aa
"Is the review deadline the same as the project submission deadline, or is there a separate one?",eae0fb50aa
I already turned in my capstone project — why is there nothing for me to review yet?,a8a7fef016
"After submitting my project, when do I actually get assigned other projects to evaluate?",a8a7fef016
"Can I pick which capstone projects I want to review, or is it automatic?",a8a7fef016
Why am I unable to review projects before the review list is out?,a8a7fef016
Is there a way to start evaluating other submissions before the deadline passes?,a8a7fef016
Where can I find project ideas and datasets for the capstone project?,e76a70cde3
Is there a GitHub page with dataset suggestions for the LLM Zoomcamp project?,e76a70cde3
I'm looking for some good datasets or topic ideas for the project — where should I check?,e76a70cde3
"Does the course provide any page with ideas, datasets, and guidelines for the capstone?",e76a70cde3
"Can you point me to the place with project ideas, datasets, and tips for the capstone?",e76a70cde3
"Do I actually need Airflow, Mage, or Kestra for the capstone project, or is a simple Python script enough?",d4f7c08ea1
"If I build the ingestion part of my capstone in a notebook instead of a script, do I still get full points?",d4f7c08ea1
"When does it make sense to use an orchestration tool for the project, like for daily data updates?",d4f7c08ea1
Can I skip an orchestrator completely and still satisfy the ingestion pipeline requirement?,d4f7c08ea1
"Is adding Airflow or similar tools required just to get the ingestion criterion points, or only when the project really needs it?",d4f7c08ea1
How can I evaluate a recommender-style RAG when I don't have clear ground-truth answers?,9b0e2d6a47
What’s a good way to create synthetic test queries for item retrieval in a RAG system?,9b0e2d6a47
"Should I use hit rate or NDCG to measure a ranking-style recommender, and why?",9b0e2d6a47
How do I use an LLM as a judge to score end-to-end RAG results?,9b0e2d6a47
"For a recommender RAG, what metrics make sense if more than one item could be a valid result?",9b0e2d6a47
"What chunk size should I start with for a huge PDF corpus, and should I add overlap too?",6f2a8b3d10
Is it worth using an LLM to split documents into sections instead of just chopping by tokens?,6f2a8b3d10
Should I attach a short summary to each chunk to help retrieval?,6f2a8b3d10
"For legal or financial docs, do I need BM25 along with embeddings, or is dense search enough?",6f2a8b3d10
"Which PDF parsing tools are good before chunking, like for getting clean markdown out of long documents?",6f2a8b3d10
What do you mean by reproducibility for the capstone project—do reviewers actually need my API keys to run it?,e5d8a2c761
How should I let someone rebuild the search index from scratch without putting credentials in the repo?,e5d8a2c761
"Do I need to include my real `.env` file for the project, or is there a safer way to show the needed variables?",e5d8a2c761
What model should I use so the reviewer can test the project without spending too many credits?,e5d8a2c761
Which versions of Python or dependencies should I pin so the project is easy to reproduce on another machine?,e5d8a2c761
Can I do the homework in something like JavaScript or Go instead of Python?,ea815eb858
"Is Python required for the capstone project, or can I use another stack if I really want to?",ea815eb858
"If I submit a project in Rust or Java, what should I put in the README so the reviewer can run it?",ea815eb858
"Do you allow non-Python languages for all assignments, or only for the final project?",ea815eb858
"If I use a language other than Python, what kind of install and run instructions do I need to provide?",ea815eb858
Where do I look to see past LLM Zoomcamp capstone project submissions?,930286278d
Is there a page with older LLM Zoomcamp projects I can browse for ideas?,930286278d
Can I check previous capstone repositories from LLM Zoomcamp somewhere?,930286278d
Do you have links to the 2024 and 2025 LLM Zoomcamp project galleries?,930286278d
Where can I find examples of submitted LLM Zoomcamp projects to understand the expected level?,930286278d
"Do I need to reserve my capstone project idea before I start, or can I just begin working on it?",897a350476
"If I’m not sure about my project idea, is there a place in Slack where I can ask for feedback?",897a350476
Are there any examples of past capstone projects I can check to see what kind of scope is expected?,897a350476
"Can I choose a project topic that’s similar to someone else’s previous project, or does it have to be unique?",897a350476
Is it okay to work on a common idea as long as my implementation is original and I follow the project requirements?,897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a web app?,7318a90b14
"Is there any required user interface for the project, or can I choose whatever works best?",7318a90b14
"Would a CLI, notebook, or Slack app be acceptable for making the project available?",7318a90b14
Do you have strict rules about how the end user should access the capstone project?,7318a90b14
"Will the course show how to create Telegram/WhatsApp or other custom interfaces, or is that on me?",7318a90b14
What’s the best tool to pull text out of PDFs for a RAG project?,d8b28c47a0
"If my PDFs are scanned images, what can I use instead of normal text extraction?",d8b28c47a0
Is there a recommended library for turning docs into Markdown or JSON for RAG?,d8b28c47a0
"Does the course require a specific OCR or PDF parsing tool, or can I pick whatever works?",d8b28c47a0
What are some good options if I want to extract text from mixed document types before chunking them?,d8b28c47a0
Do I need a minimum number of docs or rows for the capstone project dataset?,f0439b5faf
"Is there any required dataset size for the LLM Zoomcamp capstone, or can it be small?",f0439b5faf
How much data should I use for the capstone project if there’s no minimum size requirement?,f0439b5faf
"Will reviewers reject a capstone project for using a tiny dataset, as long as it works well?",f0439b5faf
What do graders look at in the capstone project evaluation—dataset size or the evaluation criteria?,f0439b5faf
"For the capstone project, does the data have to be pulled from a live API, or can I use something else?",2cf500aae6
Is it okay to build the project on a static file or a dataset I made myself instead of an API feed?,2cf500aae6
"If I use API-backed data, do I still need to make it reproducible for reviewers?",2cf500aae6
What do I need to submit so people can rebuild the knowledge base for my capstone project?,2cf500aae6
"Does the evaluation care more about where the data comes from, or whether the ingestion can be reproduced?",2cf500aae6
Can I build the capstone on a dataset that’s not in English?,5ffe92bb02
Is it okay if my app returns answers in another language for the project?,5ffe92bb02
Do I have to write the capstone README and setup guide in English even if the data isn’t?,5ffe92bb02
Can I mix a non-English dataset with English documentation for the capstone?,5ffe92bb02
Will reviewers accept a project if the dataset and responses are in a different language?,5ffe92bb02
Can I do the capstone project with structured data instead of documents?,6baab508b1
"Does the project have to use PDFs or text files, or can I work with database tables and schemas?",6baab508b1
"If I use structured records for the capstone, do I still need a retrieval step?",6baab508b1
Is an end-to-end RAG or agent setup required even when the data comes from a database?,6baab508b1
How should I evaluate a capstone project that uses table descriptions or other structured sources?,6baab508b1
"Is it okay if I use Evidently in my capstone project, or is it not allowed?",ec22c5eb86
Can I rely on Evidently as part of the tools for the capstone?,ec22c5eb86
"For the capstone, are we allowed to use Evidently?",ec22c5eb86
Would using Evidently in the capstone project be acceptable?,ec22c5eb86
Is Evidently permitted for the capstone assignment?,ec22c5eb86
"Do I have to come up with a totally original capstone project idea, or can I build something that already exists?",4179bc68b6
"Is it okay if I implement an existing project idea for the capstone, as long as I do it myself?",4179bc68b6
Can I use one of the datasets from the course lectures or homework in my capstone project?,4179bc68b6
"If I take an idea from somewhere else, do I still need to make the project my own implementation?",4179bc68b6
What are the rules about originality and dataset choice for the capstone project?,4179bc68b6
Which commit hash should I put in the Commit ID box when I send my capstone project?,82207724ff
"Do I need to submit the latest commit on my main branch, or some earlier one?",82207724ff
How can I quickly get the short commit hash from the command line for my project?,82207724ff
"If I push more changes after submitting the form, will reviewers still see them?",82207724ff
Where do I find the 7-character commit ID on GitHub for the submission?,82207724ff
How much time do we usually get to finish the peer reviews after they're assigned?,785b277339
"When does peer review actually open for the capstone project, and how long is the review period?",785b277339
Where can I check the real deadline for my assigned peer reviews?,785b277339
Do peer reviews count if I submit them after the review window closes?,785b277339
"If I miss the peer review deadline, does my project still count toward the certificate?",785b277339
"Is it okay to use ChatGPT, Claude, or Cursor for coding the capstone project, or are AI tools not allowed?",2fed4b176c
"If I use AI to help with my project, do I need to mention that somewhere, like in the README?",2fed4b176c
"Will reviewers expect me to explain parts I used AI for, such as chunking, retrieval, or the orchestrator?",2fed4b176c
"Do I have to fill out any special form or disclosure if AI helped me with homework, the project, or peer reviews?",2fed4b176c
"What are the official rules for using AI tools in the capstone project, and where can I read them?",2fed4b176c
Where should I upload my capstone project for this cohort?,920bb7ead8
Do I submit the capstone on the course management platform or somewhere else?,920bb7ead8
"Is the capstone project submission link the one for the current cohort, or can I use an older cohort's form?",920bb7ead8
Where do peer reviews happen after I turn in the capstone project?,920bb7ead8
"If I find an old submission form from a previous cohort, should I use that for my capstone?",920bb7ead8
"After I turn in my capstone, is that enough for the certificate, or do I still need to do peer reviews too?",8471c98e1f
How do I get the peer-review tasks for the capstone project—do I need to sign up somewhere or ask for them?,8471c98e1f
"Can I pick which capstone projects I review, or are the assignments automatic?",8471c98e1f
When will I be able to see my own project score and the feedback from other reviewers?,8471c98e1f
"My score is still blank after submitting the project — does that mean something went wrong, or should I submit again?",8471c98e1f
Where can I check the capstone project submission deadline for my cohort?,670737acd7
"Are the capstone project dates the same for every cohort, or do they change?",670737acd7
Should I use the current course platform or an old cohort page to find the deadline?,670737acd7
Where do I find the attempt 1 and attempt 2 submission dates for the capstone?,670737acd7
Why can’t I rely on a past cohort’s page for the capstone deadline?,670737acd7
"Can I reuse the workshop content in my own capstone project, or is it only for the class exercises?",d850a0e7ea
"Since dlt is open-source, am I allowed to take stuff from this workshop and build with it in another project?",d850a0e7ea
"Could I use the material from this workshop for a different Zoomcamp project, like MLOps, or is that not okay?",d850a0e7ea
"If I want to share parts of the workshop with teammates or friends, is that fine because dlt is open-source?",d850a0e7ea
"Are we supposed to only follow the workshop as-is, or can we use it directly in our own projects and ask questions about it?",d850a0e7ea
How do I initialize a new dlt project for loading files from cloud storage?,6bceeebf04
What's the command to create a dlt setup using filesystem and duckdb?,6bceeebf04
"If I want to start a dlt project for cloud data ingestion, what should I run first?",6bceeebf04
How can I kick off a new dlt pipeline for filesystem to duckdb loading?,6bceeebf04
Where do I begin if I'm setting up dlt to load from a cloud filesystem source?,6bceeebf04
Why am I getting `Table notion_pages___homework does not exist` when I try `db.open_table(...)` in the dlt workshop?,0407213397
What should I check if opening `notion_pages___homework` throws a `FileNotFoundError` saying the table doesn't exist?,0407213397
"I renamed the table to homework, but `db.open_table(""notion_pages___homework"")` still fails — what did I miss?",0407213397
"How do I fix the `db.create_table(..., data)` error for `notion_pages___homework` in the open-source data ingestion workshop?",0407213397
Could this error happen because I forgot to replace `employee_handbook` with `homework` everywhere in my pipeline config?,0407213397
"Why am I getting FileNotFoundError: Table notion_pages___homework does not exist when I run main(), and what table should I open instead?",e95bfafc0e
"In the dlt workshop, how do I fix the error saying I should first call db.create_table(notion_pages___homework, data)?",e95bfafc0e
My code crashes on main() because notion_pages___homework isn't found — is there a wrong table name in line 3?,e95bfafc0e
What should line 3 look like if db.open_table is pointing to the wrong Notion homework table?,e95bfafc0e
How do I stop the table-not-found error for notion_pages___homework in the open-source data ingestion workshop?,e95bfafc0e
How can I see all the tables that exist in the database?,e394e6f738
Is there a way to list the table names from the db object?,e394e6f738
What method should I call to check which tables are in the database?,e394e6f738
How do I get a full list of tables without looking them up manually?,e394e6f738
Which db function returns the names of all tables?,e394e6f738
"Does dlt already support ClickHouse or StarRocks connectors, or not yet?",cd19f122f3
Are there any built-in connectors for ClickHouse and StarRocks in dlt right now?,cd19f122f3
"Can I use dlt to load data into ClickHouse or StarRocks, or do I need something else?",cd19f122f3
"Is ClickHouse support planned for dlt, or would it have to come from community contributions?",cd19f122f3
"Why doesn’t dlt have ClickHouse or StarRocks connectors yet, and can the community add them?",cd19f122f3
Why am I getting a 401 Unauthorized when the notebook calls the Notion search API?,0dfba07ace
My notebook says it doesn’t have secret access for api.notion.com/v1/search — what should I check first?,0dfba07ace
Could this Notion API auth error be because my key is wrong or expired?,0dfba07ace
What do I need to verify in my notebook settings if Notion access is failing with 401?,0dfba07ace
How do I fix the unauthorized error when the notebook tries to search Notion?,0dfba07ace
How do I install the newer requests version for lancedb instead of getting v2.28 from pip?,4b30b918bc
What command should I use if requests keeps installing the wrong version and lancedb needs v2.32?,4b30b918bc
Is there a way to pull requests 2.32.3 directly from the source with pip?,4b30b918bc
"Why am I seeing a 401 Client Error when trying to use this setup, and what should I check?",4b30b918bc
What’s the exact pip install line for requests if the default install does not match the required version?,4b30b918bc
Why am I getting 401 Unauthorized with my EU Logfire token even though it should work with logfire.configure()?,46efd1088d
"Could this 401 happen because my .env file is not loaded before I call logfire.configure(), and how do I fix that?",46efd1088d
"How do I know if I'm using the right Logfire token, and what's the difference between a write token and a read token?",46efd1088d
What should I check if an old LOGFIRE_TOKEN is already set in my shell and my local .env keeps getting ignored?,46efd1088d
"Do I need to set LOGFIRE_BASE_URL manually for EU Logfire, or should upgrading the SDK be enough?",46efd1088d
How do I put JSONL files from several folders into one dlt pipeline without making separate runs?,671f72f4c4
"If my Claude and Codex logs are in different directories, can they still end up in the same table in dlt?",671f72f4c4
What's the dlt pattern for loading multiple log folders when all the JSONL files have the same structure?,671f72f4c4
"Do I need a different pipeline for each agent log directory, or can I combine filesystem resources and append them together?",671f72f4c4
"For agent logs in different folders, how can I keep using the same dlt table and still let the schema grow as needed?",671f72f4c4
"In the deployment lesson, `dlt.attach()` seems to use the wrong dataset name for the REST API pipeline dashboard — how do I make it point to the right one?",c306f20bf3
"My `dlt.attach(""agent_traces"", destination=""playground"", dataset_name=""agent_logs"")` line isn’t showing the REST API data; what dataset name should I use instead?",c306f20bf3
"Why does the dashboard snippet from lesson 6 use `agent_logs` if my REST API pipeline writes to something else, and what should I change it to?",c306f20bf3
How can I check the dataset name in `rest_api_pipeline.py` so the deployed pipeline and `dlt.attach()` match correctly?,c306f20bf3
Is there a way to fix the DuckDB catalog/schema issue when the dashboard attach line uses the wrong dataset name?,c306f20bf3
How do I switch `homework/agent.py` from OpenAI to Gemini in the dlt workshop?,dd53e420ef
What exact model string should I use in `Agent(...)` if I want Gemini instead of `openai:`?,dd53e420ef
"Do I need to change `SearchDeps`, the instructions, or the `@faq_agent.tool` stuff when moving to Gemini?",dd53e420ef
Which environment variable should I add to `.env` for the Gemini version of the agent?,dd53e420ef
"In `agent.py`, is it enough to replace the provider string with `google:gemini-3.1-flash-lite`?",dd53e420ef
Why am I getting fewer Logfire spans in the dlt pipeline than I expected?,8ede00dc4c
The trace seems incomplete when I run ingestion right after the agent — what should I do?,8ede00dc4c
Why does my token total look too low in the workshop pipeline output?,8ede00dc4c
Is there a way to make sure Logfire finished exporting before I start dlt?,8ede00dc4c
"For Question 3, should I compare token counts from the model spans or from the top-level agent span?",8ede00dc4c
"Why does DuckDB throw an ""Ambiguous reference to catalog or schema"" error in my dlt pipeline, and what naming clash is causing it?",8ca99429d0
What should I change in `pipeline_name` and `dataset_name` so DuckDB stops confusing the catalog with the schema?,8ca99429d0
Can I fix this by using a custom DuckDB file instead of the default one dlt creates?,8ca99429d0
"If I already loaded the data into a different DuckDB database, how do I make dlt use that existing file without creating a new empty one?",8ca99429d0
What’s a good example of a dlt pipeline config that avoids this DuckDB schema/catalog ambiguity?,8ca99429d0
Where can I find the latest dlt workshop materials and the video link?,e00ceb24be
Is there a directory for the current Open-Source Data Ingestion (dlt) workshop in llm-zoomcamp?,e00ceb24be
I’m looking for the 2026 dlt workshop instructions — where are they in the repo?,e00ceb24be
What folder should I open to get the current dlt workshop guide and video?,e00ceb24be
Has the workshop page moved to a new location for the dlt session materials?,e00ceb24be
